Acetanaerobacterium,Acetanaerobacterium,Bergey_page1051.pdf_TABLE 193.csv
Acetobacterium,Acetobacterium,Bergey_page930_table159.csv
Acetohalobium,Acetohalobium,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Acetonema,Acetonema,Bergey_page1092._TABLE202.csv
Acidaminococcus,Acidaminococcus,Bergey_page1097.pdf_TABLE 204. Chara-2.csv
Acidaminococcus,Acidaminococcus,Bergey_page1115.pdf_TABLE 208. Chara.csv
Acidaminococcus,Acidaminococcus,Bergey_page1127_TABLE212.csv
Alkalibacterium,Alkalibacterium,Bergey_page587.pdf_TABLE 102. Crite.csv
Alkalibacterium,Alkalibacteriumb,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Alkaliphilus,Alkaliphilus,Bergey_page162.pdf_TABLE 12. Distin.csv
Allofustis,Allofustis,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Allofustis,Allofustis,Bergey_page587.pdf_TABLE 102. Crite.csv
Alloiococcus,Alloiococcus,Bergey_page587.pdf_TABLE 102. Crite.csv
Aminobacterium,Aminobacterium,Bergey_page1197.pdf_TABLE 228. Diffe.csv
Aminomonas,Aminomonas,Bergey_page1197.pdf_TABLE 228. Diffe.csv
Ammonifex,Ammonifex,Bergey_page1284.pdf_TABLE 248.csv
Amphibacillus,Amphibacillus,Bergey_page162.pdf_TABLE 12. Distin.csv
Amphibacillus,Amphibacillus,Bergey_page414.pdf_TABLE 73. Discri.csv
Anaerobaculum,Anaerobaculum,Bergey_page1197.pdf_TABLE 228. Diffe.csv
Anaerococcus,Anaerococcus,Bergey_page997.pdf_TABLE 179. Chara.csv
Anaerococcus,Anaerococcus,Bergey_page1036.pdf_TABLE_187. Chara.csv
Anaerofilum,Anaerofilum,Bergey_page1051.pdf_TABLE 193.csv
Anaerofilum,Anaerofilum,Bergey_page1066.pdfTABLE 199.csv
Anaeroglobus,Anaeroglobus,Bergey_page1115.pdf_TABLE 208. Chara.csv
Anaeroglobus,Anaeroglobus,Bergey_page1097.pdf_TABLE 204. Chara-2.csv
Anaerosinus,Anaerosinus,Bergey_page1092._TABLE202.csv
Anaerotruncus,Anaerotruncus,Bergey_page1051.pdf_TABLE 193.csv
Anaerovirgula,Anaerovirgula,Bergey_page162.pdf_TABLE 12. Distin.csv
Anoxybacillus,Anoxybacillus,Bergey_page162.pdf_TABLE 12. Distin.csv
Aquifex,Aquifex,Bergey_page1299.pdf_TABLE 251. Diffe-1.csv
Atopostipes,Atopostipes,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Atopostipes,Atopostipes,Bergey_page587.pdf_TABLE 102. Crite.csv
Bacillus,Bacillus,Bergey_page162.pdf_TABLE 12. Distin.csv
Bacillus,Bacillusd,Bergey_page414.pdf_TABLE 73. Discri.csv
Bacteroides,Bacteroides,Bergey_page1117_TABLE209.csv
Bifidobacterium,Bifidobacterium,Bergey_page1339_TABLE258.csv
Brevibacillus,Brevibacillus,Bergey_page414.pdf_TABLE 73. Discri.csv
Brochothrix,Brochothrix,Bergey_page1329.pdf_TABLE 256.csv
Brochothrix,Brochothrix,Bergey_page278_table43.csv
Caldanaerobacter,Caldanaerobacter,Bergey_page1284.pdf_TABLE 248.csv
Carnobacterium,Carnobacterium,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Carnobacterium,Carnobacterium,Bergey_page651.pdf_TABLE 121. Major.csv
Carnobacterium,Carnobacterium,Bergey_page930_table159.csv
Clostridium,Clostridium,Bergey_page162.pdf_TABLE 12. Distin.csv
Clostridium cellulosi,Clostridium.cellulosi,Bergey_page1051.pdf_TABLE 193.csv
Clostridium leptum,Clostridium.leptum,Bergey_page1051.pdf_TABLE 193.csv
Clostridium sporosphaeroides,Clostridium.sporosphaeroides,Bergey_page1051.pdf_TABLE 193.csv
Coprothermobacter,Coprothermobacter,Bergey_page1299.pdf_TABLE 251. Diffe-1.csv
Corynebacterium,Corynebacterium,Bergey_page1329.pdf_TABLE 256.csv
Cryptaerobacter,Cryptaerobacter,Bergey_page996.pdf_TABLE 178. Chara.csv
Dehalobacter,Dehalobacter,Bergey_page996.pdf_TABLE 178. Chara.csv
Dendrosporobacter,Dendrosporobacter,Bergey_page1092._TABLE202.csv
Desemzia,Desemzia,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Desulfitobacterium,Desulfitobacterium,Bergey_page996.pdf_TABLE 178. Chara.csv
Desulfonispora,Desulfonispora,Bergey_page996.pdf_TABLE 178. Chara.csv
Desulfosporosinus,Desulfosporosinus,Bergey_page996.pdf_TABLE 178. Chara.csv
Desulfotomaculum,Desulfotomaculum,Bergey_page162.pdf_TABLE 12. Distin.csv
Desulfotomaculum,Desulfotomaculum,Bergey_page996.pdf_TABLE 178. Chara.csv
Dethiosulfovibrio,Dethiosulfovibrio,Bergey_page1197.pdf_TABLE 228. Diffe.csv
Dolosigranulum,Dolosigranulum,Bergey_page587.pdf_TABLE 102. Crite.csv
Eikenella,Eikenella,Bergey_page1117_TABLE209.csv
Erysipelothrix,Erysipe.lothrix,Bergey_page1329.pdf_TABLE 256.csv
Erysipelothrix,Erysipelothrix,Bergey_page1339_TABLE258.csv
Erysipelothrix,Erysipelothrix,Bergey_page278_table43.csv
Ethanoligenens,Ethanoligenens,Bergey_page1051.pdf_TABLE 193.csv
Eubacterium,Eubacterium,Bergey_page986.pdf_TABLE 177. Diffe.csv
Faecalibacterium,Faecalibacterium,Bergey_page1066.pdfTABLE 199.csv
Faecalibacterium,Fecalibacterium,Bergey_page1051.pdf_TABLE 193.csv
Fervidobacterium,Fervidobacterium,Bergey_page1299.pdf_TABLE 251. Diffe-1.csv
Filifactor,Filifactor,Bergey_page1036.pdf_TABLE_187. Chara.csv
Finegoldia,Finegoldia,Bergey_page997.pdf_TABLE 179. Chara.csv
Finegoldia,Finegoldia,Bergey_page1036.pdf_TABLE_187. Chara.csv
Fusibacter,Fusibacter,Bergey_page1036.pdf_TABLE_187. Chara.csv
Gallicola,Gallicola,Bergey_page997.pdf_TABLE 179. Chara.csv
Gallicola,Gallicola,Bergey_page1036.pdf_TABLE_187. Chara.csv
Halanaerobacter,Halanaerobacter,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Halanaerobium,Halanaerobium,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Halanaerobium,Halanaerobium,Bergey_page1230.pdf_TABLE 241.csv
Hallella,Hallella,Bergey_page1117_TABLE209.csv
Halobacteroides,Halobacteroides,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Halocella,Halocella,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Halocella,Halocella,Bergey_page1230.pdf_TABLE 241.csv
Halonatronum,Halonatronum,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Halothermothrix,Halothermothrix,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Halothermothrix,Halothermothrix,Bergey_page1230.pdf_TABLE 241.csv
Helcococcus,Helcococcus,Bergey_page997.pdf_TABLE 179. Chara.csv
Helcococcus,Helcococcus,Bergey_page1036.pdf_TABLE_187. Chara.csv
Heterofermentative Lactobacillus,Heterofermentative Lactobacillus,Bergey_page651.pdf_TABLE 121. Major.csv
Heterofermentative Lactobacillus,Heterofermentative Lactobacillusc,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Holdemania,Holdemania,Bergey_page1339_TABLE258.csv
Homofermentative Lactobacillus,Homofermentative Lactobacillus,Bergey_page651.pdf_TABLE 121. Major.csv
Homofermentative Lactobacillus,Homofermentative Lactobacillusd,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Homofermentative ovoid-shaped LAB (Enterococcus),Homofermentative ovoid-shaped LAB (Enterococcus),Bergey_page651.pdf_TABLE 121. Major.csv
Isobaculum,Isobaculum,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Kurthia,Kurthia,Bergey_page1329.pdf_TABLE 256.csv
Kurthia,Kurthia,Bergey_page278_table43.csv
Laceyella,Laceyella,Bergey_page467.pdf_TABLE 78. Phenot.csv
Lactobacillus,Lactobacillus,Bergey_page1339_TABLE258.csv
Lactobacillus,Lactobacillus,Bergey_page278_table43.csv
Lactobacillus,Lactobacillus,Bergey_page930_table159.csv
Leuconostoc,Leuconostoc,Bergey_page651.pdf_TABLE 121. Major.csv
Leuconostoc,Leuconostoce,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Listeria,Listeria,Bergey_page1329.pdf_TABLE 256.csv
Listeria,Listeria,Bergey_page278_table43.csv
Marilactibacillus,Marilactibacillus,Bergey_page587.pdf_TABLE 102. Crite.csv
