Genus,max,min
Acetonema,0.4,0.4
Pelosinus,0.6,0.6
Sporotalea,0.6,0.6
Propionispora,0.6,0.6
Anaerosinus,0.5,0.5
Dendrosporobacter,0.5,0.5
Anaeroglobus,1.1,0.5
Megasphaera,2.6,0.4
Veillonella,0.5,0.3
Acidaminococcus,1,0.6
Halothermothrix,0.6,0.4
Halocella,0.6,0.4
Halanaerobium,1.2,0.3
Thermanaeromonas,0.6,0.6
Ammonifex,0.6,0.6
Caldanaerobacter,0.3,0.3
Thermoanaerobacter,0.4,0.8
Thermovenabulum,0.5,0.5
Bacillus,5,0.5
Alkalibacllus,5,0.5
Amphibacillus,1,0
Anoxybacillus,0,0.5
Cerasibacillus,1,0.5
Filobacillus,0.5,0
Geobacillus,5,0.5
Gracilibacillus,1,0
Halobacillus,5,0.5
Halolactibacillus,1,0.5
Lentibacillus,1,0.5
Marinococcus,5,1
Oceanobacillus,1,0.5
Paraliobacillus,0.5,0
Pontibacillus,1,0.5
Tenuibacillus,5,0
Virgibacillus,5,0
Sporobacterium,0.8,0.4
Parasporobacterium,0.5,0.3
Sporobacter,0.4,0.3
Sporotomaculum,0.8,0.6
